127.0.0.1 - - [10/Feb/2017:11:39:09 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:39:27 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:39:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:39:27 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:40:46 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:40:55 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2370
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:41:06 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:47:02 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:47:23 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:48:03 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:52:09 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:53:12 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [10/Feb/2017:11:54:45 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [10/Feb/2017:12:00:30 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [10/Feb/2017:12:00:55 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2369
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:22:19 +0530] "POST /springjpaexample/employee-module HTTP/1.1" 500 2674
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:26:49 +0530] "GET /springjpaexample/employee-module HTTP/1.1" 200 2800
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:26:58 +0530] "POST /springjpaexample/employee-module HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2017:13:26:58 +0530] "GET /springjpaexample/employee-module?headerMesssage=Employee+Management+App HTTP/1.1" 200 3071
